                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

                                 Variable                                                   Percent
                                   Name      Variable Label                                 Missing

                                 AWFACTE     All woman factor - educational                   0.00 
                                 AWFACTR     All woman factor - regional                      0.00 
                                 AWFACTT     All woman factor - total                         0.00 
                                 AWFACTU     All woman factor - urban/rural                   0.00 
                                 AWFACTW     All woman factor - wealth index                  0.00 
                                 B0          Child is twin                                    0.00 
                                 B1          Month of birth                                   0.00 
                                 B10         Completeness of information                      0.00 
                                 B11         Preceding birth interval (months)               41.29 
                                 B12         Succeeding birth interval (months)              85.50 
                                 B13         Flag for age at death                           98.34 
                                 B15         Live birth between births                       41.08 
                                 B16         Child's line number in household                 1.66 
                                 B17         Day of birth                                     0.00 
                                 B18         Century Day Code of birth (CDC)                  0.00 
                                 B19         Current age of child in months                   0.00 
                                 B2          Year of birth                                    0.00 
                                 B20         Duration of pregnancy                            0.00 
                                 B3          Date of birth (CMC)                              0.00 
                                 B4          Sex of child                                     0.00 
                                 B5          Child is alive                                   0.00 
                                 B6          Age at death                                    98.34 
                                 B7          Age at death (months, imputed)                  98.34 
                                 B8          Current age of child                             1.66 
                                 B9          Child lives with whom                            1.66 
                                 BIDX        Birth column number                              0.00 
                                 BORD        Birth order number                               0.00 
                                 CASEID      Case Identification                              0.00 
                                 IDX94       Index to Birth History                           0.00 
                                 M1          Number of tetanus injections before birth       15.15 
                                 M10         Wanted pregnancy when became pregnant            0.00 
                                 M11         Desired time would have waited                  71.64 
                                 M13         Timing of 1st antenatal check (months)          18.16 
                                 M14         Number of antenatal visits during pregnancy     15.15 
                                 M15         Place of delivery                               15.15 
                                 M17         Delivery by caesarean section                    0.00 
                                 M17A        Timing on decision for caesarean section        60.96 
                                 M19         Birth weight in kilograms (3 decimals)           0.00 
                                 M19A        Weight at birth/recall                           0.00 
                                 M28         Flag for amenorrhea                              0.00 
                                 M29         Flag for abstinence                              0.00 
                                 M2A         Prenatal: doctor                                15.15 
                                 M2B         Prenatal: nurse                                 15.15 
                                 M2C         Prenatal: auxiliary nurse                       15.15 
                                 M2G         Prenatal: traditional birth attendant           15.15 
                                 M2K         Prenatal: other                                 15.15 
                                 M2N         Prenatal: no one                                15.15 
                                 M3A         Assistance: doctor                               0.00 
                                 M3B         Assistance: nurse                                0.00 
                                 M3C         Assistance: auxiliary nurse                      0.00 
                                 M3G         Assistance: traditional birth attendant          0.00 
                                 M3H         Assistance: relative/friend                      0.00 
                                 M3K         Assistance: other                                0.00 
                                 M3N         Assistance: no one                               0.00 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

             Variable                                                                                          Percent
               Name      Variable Label                                                                        Missing

              M42A       During pregnancy: weighed                                                              18.16 
              M42C       During pregnancy: blood pressure taken                                                 18.16 
              M42D       During pregnancy: urine sample taken                                                   18.16 
              M42E       During pregnancy: blood sample taken                                                   18.16 
              M43        Told about pregnancy complications                                                     18.16 
              M44        Told where to go for pregnancy complications                                           32.11 
              M45        During pregnancy, given or bought iron tablets/syrup                                   15.15 
              M49A       During pregnancy took: SP/fansidar for malaria                                         15.15 
              M49B       During pregnancy took: chloroquine for malaria                                         15.15 
              M49C       During pregnancy took: amodiaquine                                                     15.15 
              M49D       During pregnancy took: primaquine (neoquipenil)                                        15.15 
              M49X       During pregnancy took: other drug for malaria                                          15.15 
              M49Y       During pregnancy took: no drug for malaria                                             15.15 
              M49Z       During pregnancy took: don't know                                                      15.15 
              M57E       Antenatal care: government hospital                                                    18.16 
              M57M       Antenatal care: private hospital/clinic                                                18.16 
              M57N       Antenatal care: EPS health center                                                      18.16 
              M57O       Antenatal care: private doctor                                                         18.16 
              M57P       Antenatal care: PROFAMILIA                                                             18.16 
              M57X       Antenatal care: other                                                                  18.16 
              M6         Duration of amenorrhea                                                                  0.00 
              M65A       Reason didn't deliver at health facility: economics                                    95.99 
              M65C       Reason didn't deliver at health facility: health services                              95.99 
              M65D       Reason didn't deliver at health facility: personal                                     95.99 
              M65F       Reason didn't deliver at health facility: Opposition                                   95.99 
              M65G       Reason didn't deliver at health facility: lack of knowledge                            95.99 
              M65I       Reason didn't deliver at health facility: too much paper work                          95.99 
              M65J       Reason didn't deliver at health facility: wasn't affiliated to health insurance        95.99 
              M65K       Reason didn't deliver at health facility: didn't know that could use the service       95.99 
              M65X       Reason didn't deliver at health facility: other                                        95.99 
              M66        Respondent's health checked after discharge/delivery at home                            0.00 
              M67        How long after discharge/delivery at home respondent health check took place           38.59 
              M68        Who checked respondent health after discharge/delivery at home                         38.59 
              M69        Where respondent check after discharge/delivery at home took place                     38.59 
              M7         Months of amenorrhea                                                                    0.00 
              M70        Baby postnatal check within 2 months                                                   15.15 
              M71        Time after delivery postnatal check took place                                         21.51 
              M8         Duration of abstinence                                                                  0.00 
              M9         Months of abstinence                                                                    0.00 
              MIDX       Index to Birth History                                                                  0.00 
              S1008      Life expectancy for someone with AIDS                                                   5.54 
              S1010      Person with highest vulnerability to get AIDS                                           5.54 
              S1011A     Perception on getting AIDS when: have sex without protection                            5.54 
              S1011B     Perception on getting AIDS when: use alcohol or drugs before sex                        5.54 
              S1011C     Perception on getting AIDS when: couples get tested and agree on mutual protection      5.54 
              S1011D     Perception on getting AIDS when: have other STDs                                        5.54 
              S101A      Sex as declared by respondent                                                           0.00 
              S102       Time living in current place of residence                                               0.00 
              S1021A     Received counseling before HIV test as part of antenatal visit                         35.16 
              S1022A     Received counseling after receiving test results as part of antenatal visit            35.16 
              S1026A     Received counseling before HIV test last time                                          78.72 
              S1027A     Reason last HIV test was done                                                          73.98 
              S1032      Frequency of taking HIV test                                                            5.54 
              S1038      Ever had sex with an infected individual                                                5.54 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

                      Variable                                                                        Percent
                        Name      Variable Label                                                      Missing

                      S1040A      Man's symptoms of STD: abdominal pain                                23.89 
                      S1040B      Man's symptoms of STD:  genital discharge/dripping                   23.89 
                      S1040C      Man's symptoms of STD: foul smelling discharge                       23.89 
                      S1040D      Man's symptoms of STD: burning pain during urination                 23.89 
                      S1040E      Man's symptoms of STD: redness/rash                                  23.89 
                      S1040F      Man's symptoms of STD: swelling                                      23.89 
                      S1040G      Man's symptoms of STD: sores/ulcers                                  23.89 
                      S1040H      Man's symptoms of STD: warts                                         23.89 
                      S1040I      Man's symptoms of STD: blood in urine                                23.89 
                      S1040J      Man's symptoms of STD: weight loss                                   23.89 
                      S1040K      Man's symptoms of STD: impotence                                     23.89 
                      S1040L      Man's symptoms of STD: no symptoms                                   23.89 
                      S1040X      Man's symptoms of STD: other                                         23.89 
                      S1040Z      Man's symptoms of STD: don't know                                    23.89 
                      S1041A      Woman's symptoms of STD: abdominal pain                              23.89 
                      S1041B      Woman's symptoms of STD:  genital discharge/dripping                 23.89 
                      S1041C      Woman's symptoms of STD: foul smelling discharge                     23.89 
                      S1041D      Woman's symptoms of STD: burning pain during urination               23.89 
                      S1041E      Woman's symptoms of STD: redness/rash                                23.89 
                      S1041F      Woman's symptoms of STD: swelling                                    23.89 
                      S1041G      Woman's symptoms of STD: sores/ulcers                                23.89 
                      S1041H      Woman's symptoms of STD: warts                                       23.89 
                      S1041I      Woman's symptoms of STD: blood in urine                              23.89 
                      S1041J      Woman's symptoms of STD: weight loss                                 23.89 
                      S1041K      Woman's symptoms of STD: incapacity to deliver                       23.89 
                      S1041L      Woman's symptoms of STD: no symptoms                                 23.89 
                      S1041X      Woman's symptoms of STD: other                                       23.89 
                      S1041Z      Woman's symptoms of STD: don't know                                  23.89 
                      S1050       Advise partner when had STD                                          92.42 
                      S1051       When had STD did something to avoid infecting partner                92.42 
                      S1052A      What was done: no sexual intercourse                                 94.22 
                      S1052B      What was done: used condoms                                          94.22 
                      S1052C      What was done: took medicines                                        94.22 
                      S1055       During health consultations got advice to prevent STDs                0.00 
                      S106A       Level of school completed                                             0.00 
                      S106B       Grade of school completed                                             3.13 
                      S107        Knows how to read and write                                          76.56 
                      S109        Currently attending school                                           60.01 
                      S110        Number of years stopped school                                       66.95 
                      S111        Reason stop school                                                   66.95 
                      S112        Mother current marital status                                        60.01 
                      S113        Father current marital status                                        60.01 
                      S115        Mother marital status when respondent was 12-14 years old            60.12 
                      S116        Father marital status when respondent was 12-14 years old            60.12 
                      S117        Who did used to live with when between 12-14 years old               60.12 
                      S118        Currently respondent lives with                                      99.89 
                      S119        Respondent's mother children ever born                               60.01 
                      S120        All respondent's mother children from same man                       61.01 
                      S1203CA     Place where event occurred when: partner jealous                     56.47 
                      S1203CB     Place where event occurred when: accused not being faithful          73.76 
                      S1203CC     Place where event occurred when: didn't allow to see friends         79.11 
                      S1203CD     Place where event occurred when: limit family contact                89.71 
                      S1203CE     Place where event occurred when: insist in knowing where you are     75.27 
                      S1203CF     Place where event occurred when: ignored you                         76.95 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

             Variable                                                                                          Percent
               Name      Variable Label                                                                        Missing

             S1203CI     Place where event occurred when:  threaten with a weapon                               94.17 
             S1203CJ     Place where event occurred when: refer to you in terms not appropriate                 81.61 
             S1203CK     Place where event occurred when: threaten to leave you                                 86.64 
             S1203CL     Place where event occurred when: threaten to take away the children                    84.51 
             S1204CA     Place where event occurred when: push, shake you                                       75.48 
             S1204CB     Place where event occurred when: slap you                                              81.40 
             S1204CC     Place where event occurred when: hit you with an object                                95.25 
             S1204CD     Place where event occurred when: kick, drag you                                        93.11 
             S1204CE     Place where event occurred when: attack with a knife/gun                               97.69 
             S1204CF     Place where event occurred when: tried to strangle, burn                               96.29 
             S1205B      Husband/partner: threaten to withdraw economic support                                 12.36 
             S1205C      Husband/partner: didn't allow to study/work                                            12.36 
             S1205CA     Place where event occurred when: controlling money                                     89.25 
             S1205CB     Place where event occurred when: threaten to withdraw economic support                 91.79 
             S1205CC     Place where event occurred when: didn't allow to study/work                            87.13 
             S1205D      Husband/partner: spent the household money                                             12.36 
             S1205E      Husband/partner: take away money or real state                                         12.36 
             S1206CA     Place where event occurred when: forced to perform sexual acts                         94.89 
             S1207       As a result of sexual violence: took emergency contraception                           94.89 
             S1208       As a result of sexual violence: got pregnant                                           94.89 
             S1209       Did sexual violence occurred after May 2006                                            99.38 
             S121        All respondent's father children from same woman                                       60.01 
             S1210       When sexual violence occurred was told that could request to stop of the pregnancy     99.48 
             S1211       Did request interruption of pregnancy                                                  99.48 
             S1212       Was interruption of pregnancy done                                                     99.95 
             S1215G      As a result of mistreatment respondent: self-esteem went down                          42.53 
             S1215H      As a result of mistreatment respondent: affected relationship with children            42.53 
             S1215I      As a result of mistreatment respondent: stopped talking to people                      42.53 
             S1215J      As a result of mistreatment respondent: diminish productivity                          42.53 
             S1215K      As a result of mistreatment respondent: got sick (disoriented)                         42.53 
             S1215L      As a result of mistreatment respondent: lost interest in sex                           42.53 
             S1215M      As a result of mistreatment respondent: stopped working                                42.53 
             S1215N      As a result of mistreatment respondent: stopped studying                               42.53 
